# Energies_eV	Pt-foil-5mu
11285.99	0.87216
11286.99	0.87222
11287.99	0.87202
11288.99	0.87128
11289.99	0.87185
11290.99	0.8731
11291.99	0.87447
11292.99	0.87562
11293.99	0.87485
11294.99	0.87664
11295.99	0.87638
11296.99	0.87586
11297.99	0.8737
11298.99	0.87232
11299.99	0.87191
11300.99	0.87405
11301.99	0.87519
11302.99	0.8728
11303.99	0.87037
11304.99	0.87028
11305.99	0.87165
11306.99	0.86902
11307.99	0.86927
11308.99	0.86813
11309.99	0.86703
11310.99	0.86672
11311.99	0.8662
11312.99	0.86552
11313.99	0.86554
11314.99	0.86681
11315.99	0.86731
11316.99	0.86573
11317.99	0.86347
11318.99	0.86304
11319.99	0.86431
11320.99	0.86509
11321.99	0.86544
11322.99	0.86384
11323.99	0.86171
11324.99	0.86164
11325.99	0.86339
11326.99	0.86386
11327.99	0.86325
11328.99	0.86123
11329.99	0.86056
11330.99	0.86154
11331.99	0.86326
11332.99	0.86261
11333.99	0.86141
11334.99	0.8605
11335.99	0.86048
11336.99	0.86191
11337.99	0.86252
11338.99	0.86141
11339.99	0.8569
11340.99	0.85598
11341.99	0.85728
11342.99	0.8576
11343.99	0.85728
11344.99	0.8576
11345.99	0.85776
11346.99	0.8578
11347.99	0.85833
11348.99	0.85765
11349.99	0.85748
11350.99	0.8538
11351.99	0.85102
11352.99	0.85102
11353.99	0.85203
11354.99	0.8533
11355.99	0.85328
11356.99	0.84947
11357.99	0.84828
11358.99	0.84889
11359.99	0.84955
11360.99	0.84872
11361.99	0.84701
11362.99	0.85011
11363.99	0.85014
11364.99	0.8499
11365.99	0.84806
11366.99	0.84818
11367.99	0.84605
11368.99	0.84345
11369.99	0.84354
11370.99	0.84426
11371.99	0.84457
11372.99	0.84453
11373.99	0.84435
11374.99	0.84442
11375.99	0.8448
11376.99	0.84132
11377.99	0.84128
11378.99	0.839
11379.99	0.83621
11380.99	0.83575
